ISO_693-3
abi
abp
aca
acd
ace
acf
ach
acn
acr
acu
ade
adh
adj
adx
aeu
afr
agd
agn
agr
agu
aha
ahk
aia
aka
akb
ake
akp
alj
alp
alt
alz
ame
amf
amh
ami
amk
ann
any
aoz
apb
apr
asa
asg
asm
ast
atb
atg
ati
atq
avn
avu
awa
awb
ayo
azb
azg
azj
azz
bak
bam
ban
bao
bas
bav
bba
bbb
bbc
bbo
bcc
bcl
bcw
bdg
bdh
bdq
bdu
bdv
beh
bel
bem
ben
bep
bex
bfa
bfo
bfy
bfz
bgc
bgq
bgr
bgt
bgw
bht
bhz
bib
bim
bis
biv
bjr
bjv
bjw
bjz
bkd
bkv
blh
blt
blx
blz
bmq
bmr
bmu
bmv
bng
bno
bnp
boa
bod
boj
bom
bos
bov
box
bpr
bps
bqc
bqi
bqj
bqp
bre
bru
bsc
bsq
bss
btd
bts
btt
btx
bud
bul
bus
bvc
bvz
bwq
bwu
byr
bzh
bzi
bzj
caa
cab
cac
cak
car
cat
cax
cbc
cbi
cbr
cbs
cbt
cbu
cbv
cce
cco
cdj
ceb
ceg
cek
ces
cfm
cgc
chf
chv
chz
cjo
cjp
cjs
ckb
cko
cla
cle
cly
cme
cmn
cmo
cmr
cnh
cni
cnl
cnt
coe
cof
cok
con
cot
cou
cpa
cpb
cpu
crh
crk
crn
crq
crs
crt
csk
cso
ctd
ctg
cto
ctu
cuc
cui
cuk
cul
cwa
cwe
cwt
cya
cym
daa
dah
dan
dbj
dbq
ddn
ded
des
deu
dga
dgi
dgk
dgo
dhi
did
dig
dik
dip
div
djk
dnj
dnt
dnw
dop
dos
dsh
dso
dtp
dts
dug
dwr
dyi
dyo
dyu
dzo
eip
eka
ell
emp
enb
eng
enx
ese
eus
ewe
eza
fal
fao
far
fij
flr
fon
fra
frd
fry
gag
gai
gam
gbi
gbk
gbm
gbo
gde
geb
gej
gil
gjn
gkn
gle
glg
glk
gmv
gna
gnd
gng
gof
gog
gor
gqr
grc
gri
grt
gso
gub
guc
gud
guh
guj
guk
gum
guo
guq
gux
gvc
gvl
gwr
gym
gyr
had
hag
hak
hap
hat
hau
hay
heb
heh
hif
hig
hil
hin
hlb
hlt
hne
hnn
hns
hoc
hrv
hto
hub
hui
hus
huu
hvn
hwc
hye
hyw
iba
ibo
icr
idd
ifa
ifb
ife
ifk
ifu
ify
ign
ikk
ilb
ilo
imo
inb
ind
iou
ipi
iqw
iri
irk
isl
ita
itv
ixl
izr
izz
jac
jam
jav
jbu
jen
jic
jiv
jmc
jmd
jun
juy
jvn
kaa
kab
kac
kak
kam
kao
kaq
kay
kaz
kbo
kbp
kbq
kbr
kby
kcg
kdc
kde
kdh
kdi
kdj
kdl
kdn
kdt
kea
kek
ken
keo
ker
key
kez
kfw
kfx
khg
khm
khq
kia
kij
kik
kin
kir
kjb
kje
kjg
kjh
kki
kkj
kle
klu
klv
klw
kma
kmd
kml
kmr
kmu
knb
kne
knf
knj
knk
kno
kog
kpq
kps
kpz
kqe
kqp
kqr
kqy
krc
kri
krj
krr
krs
ksb
ksr
kss
ktb
ktj
kub
kue
kum
kus
kvn
kvw
kwd
kwf
kwi
kxc
kxf
kxm
kyb
kyc
kyf
kyg
kyo
kyq
kyu
kyz
kzf
lac
laj
lam
lao
las
lat
law
lbj
lbw
lcp
lee
lef
lem
lew
lex
lgg
lgl
lhu
lia
lid
lif
lin
lip
lis
lit
lje
ljp
llg
lln
lme
lnd
lns
lob
lok
lom
lon
loq
lsi
lsm
ltz
luc
lug
luo
lwo
lww
maa
mad
mag
mah
mai
maj
mak
mam
maq
mar
maw
maz
mbb
mbc
mbh
mbj
mbt
mbu
mbz
mca
mcb
mcd
mco
mcp
mcq
mcu
mda
mdv
mdy
med
mee
mej
men
meq
met
mev
mfe
mfh
mfi
mfk
mfq
mfy
mfz
mgd
mge
mgh
mgo
