fcbh_latin_iso639
abi
aca
acd
ace
acf
ach
acn
acr
acu
ade
adj
agn
agr
agu
aia
aka
akb
ake
akp
alj
alp
alz
ame
amf
amk
anv
apf
arn
atg
atq
auc
awb
ayo
aza
azj
azg
bam
ban
bav
bba
bbb
bdg
bex
bfa
bfo
bgr
bib
bis
bjr
bjv
bkv
bky
blh
blt
blz
bmq
bmr
bmu
bno
boj
bov
box
bps
bqc
bqj
bqp
bss
bts
btx
bud
bvz
bwq
bxk
bzh
bzj
caa
cab
cak
cbc
cbi
cbr
cbs
cbt
cbv
cce
ceb
ceg
cfm
gil
cgc
ojb
cjo
cko
cme
cmr
cnh
cni
hlt
coe
cof
cok
cot
cpb
cpu
crn
cso
ctd
cto
ctu
cuc
cui
cul
cwe
cya
cym
daa
dah
dbj
ddn
des
dga
did
dik
dnj
dsh
dtp
dug
dur
dwr
dyi
dyo
eka
emp
ena
eng
enx
ese
esk
eus
ewe
fal
ffm
fon
fuf
fuq
gbi
gbo
gde
geb
gna
gnd
gng
gnw
gof
gog
gor
gqr
gso
gub
gud
gug
gum
guq
gvl
gym
hae
hak
hau
hay
heh
hil
hnn
hns
hto
hub
hui
huu
icr
ifa
ifb
ife
ifu
ify
ikk
ilo
ind
iri
irk
itv
ixl
izr
jac
jam
jav
jic
jiv
jvn
kac
kaq
kbp
kcg
kck
kdc
kdi
kdj
kdn
ndp
kek
ken
keo
ker
kez
kia
kij
kin
kmr
kne
knj
kog
kqe
kqp
kri
krj
ktj
kub
kue
kus
kvn
kwd
kwf
kyf
kyq
kzf
laj
lat
lvs
lee
lef
lem
lew
lex
lgg
lhu
lid
lip
lis
ljp
lln
lme
lnd
lob
log
lok
lon
lsi
lsm
lwo
maa
mad
mah
maj
mak
mam
maw
mbb
mbc
mbj
mbt
mca
mcb
mcd
mco
mcp
mcq
mcr
mcu
mda
mdm
med
mej
meq
mfe
mfh
mfi
mfk
mfq
mfy
mgd
mgo
mhi
mhy
mil
mim
min
mio
miq
mit
miy
mkl
plt
mnb
mnf
mnk
moa
mog
mor
mpg
mpm
mpx
mqb
mrw
mtj
muh
muy
mvp
mwq
mwv
mww
myb
myk
myx
myy
mza
mzm
nan
nas
ncj
nde
neb
ngu
nhe
nhu
nhx
nhy
nia
nij
nin
niy
nko
nlc
nlg
nmz
nnb
nnw
noa
not
npy
nsu
nus
nwb
nyf
nyn
nyo
nyy
obo
old
omw
ore
ote
pad
pag
pap
pau
pbc
pbi
pcm
pib
pir
pls
plw
pmf
poi
pol
por
ppk
pps
prf
prk
pse
pss
ptu
pui
pwg
pxm
quc
quf
quh
quw
quz
qva
qve
qvn
qvo
qvz
qxh
qxo
qxr
ram
rej
rmc
rmo
ron
rro
rug
run
sab
sag
sas
sba
sbl
sda
sea
seh
sey
sgb
shk
shp
sil
sld
slv
sml
sna
snf
snn
snp
snw
som
soy
spa
spy
sri
srm
sus
swh
sxb
sxn
tav
tbc
tbt
tby
tbz
teo
ter
tgl
tgo
tgp
thk
tlb
tlj
tmc
tnc
tnr
tob
tod
toh
tpi
tpp
tri
trq
trs
tso
tsz
tte
tue
tuf
tur
twb
twu
txa
txu
tye
tzh
tzo
urb
usp
vie
vmw
vut
wal
wap
war
wmw
wwa
xed
xog
xon
xsm
xtd
xtm
xuo
yaa
yad
yam
yaz
yba
ycn
yka
yli
yor
yua
yva
zaa
zad
zae
zak
zca
zlm
zne
zpc
zpq
zpt
zpz
zyp
