language,stocknumber,script,smstk,file_name
Sierra de JuÃ¡rez Zapotec,N2ZAA/TBL,Latn,ZAATBL,Base_ZAPOTECO_SIERRA_JUAREZ_N2_ZAA_TBL.XLSX
Sinte Romani,N2RMO/RAM,Latn,RMORAM,Base_ROMANI_SINTI_N2_RMO_RAM.XLSX
Siona,N2SNN/WBT,Latn,SNNWBT,Base_SIONA_N2_SNN_WBT.XLSX
Siriano,N2SRI/WBT,Latn,SRIWBT,Base_SIRIANO_N2_SRI_WBT.XLSX
Siwu,N2AKP/WBT,Latn,AKPWBT,Base_SIWU_N2_AKP_WBT.XLSX
Soga,N2XOG/BSU,Latn,XOGBSU,Base_LUSOGA_N2_XOG_BSU.XLSX
Southern Puebla Mixtec,N2MIT/TBL,Latn,MITTBL,Base_MIXTEC_PUEBLA_SUR_N2_MIT_TBL.XLSX
Southwest Gbaya,N2GSO/CAR,Latn,GSOCAR,Base_GBAYA_SOUTHWESTERN_N2_GSO_CAR.XLSX
Southwestern Dinka,N2DIK/TBL,Latn,DIKTBL,Base_DINKA_REK_N2_DIK_TBL.XLSX
Spanish,N2SPN/BDA,Latn,SPNBDA,Base_SPANISH_BIBLIA_DE_AMERICA_N2_SPN_BDA.XLSX
Spanish,N2SPN/WTC,Latn,SPNWTC,Base_SPANISH__N2_SPN_WTC01.XLSX
Standard Latvian,N2LAT/BSL,Latn,LATBSL,Base_LATVIAN_N2_LAT_BSL.XLSX
Suba,N2SXB/BTL,Latn,SXBBTL,Base_SUBA_N2SXBBTL.XLSX
Sudest,N2TGO/TBL,Latn,TGOTBL,Base_SUDEST_N2_TGO_TBL.XLSX
Susu,N2SUS/PBT,Latn,SUSPBT,Base_SUSU_N2_SUS_PBT.XLSX
Tabaru,N2TBY/LAI,Latn,TBYLAI,Base_TABARU_N2_TBY_LAI.XLSX
Tagalog,N2TGL/PBS,Latn,TGLPBS,Base_TAGALOG_N2_TGL_PBS.XLSX
Tai Dam,N2BLT/EPI,Latn,BLTEPI,Base_TAI_DAM_N2_BLT_EPI.XLSX
Takia,N2TBC/PNG,Latn,TBCPNG,Base_TAKIA_N2_TBC_PNG.XLSX
Tatuyo,N2TAV/WBT,Latn,TAVWBT,Base_N2_TAV_WBT.XLSX
Tedim Chin,N2CTD/TEV,Latn,CTDTEV,Base_CHIN_TIDDIM_N2_CTD_TEV.XLSX
Tena Lowland Quichua,N2QUW/HLE,Latn,QUWHLE,Base_QUICHUA_TENA_LOWLAND_N2_QUW_HLE.XLSX
Tereno,N2TER/TBL,Latn,TERTBL,Base_TERENA_N2_TER_TBL.XLSX
Termanu,N2TWU/LAI,Latn,TWULAI,Base_ROTE_N2_TWU_LAI.XLSX
Teso,N2TEO/BSU,Latn,TEOBSU,Base_ATESO_N2_TEO_BSU.XLSX
Texmelucan Zapotec,N2ZPZ/TBL,Latn,ZPZTBL,Base_ZAPOTECO_DE_TEXMELUCAN_N2_ZPZ_TBL.XLSX
Tharaka,N2THK/BTL,Latn,THKBTL,Base_THARAKA_N2_THK_BTL.XLSX
Tobelo,N2TLB/LAI,Latn,TLBLAI,Base_TOBELO__N2_TLB_LAI_.XLSX
Tol,N2JIC/WBT,Latn,JICWBT,Base_TOLPAN_N2_JIC_WBT.XLSX
Toraja-Sa'dan,N2SDA/LAI,Latn,SDALAI,Base_TORAJA_N2_SDA_LAI.XLSX
Toura (CÃ´te d'Ivoire),N2NEB/WYI,Latn,NEBWYI,Base_TOURA_N2_NEB_WYI.XLSX
TriÃ³,N2TRI/UFM,Latn,TRIUFM,Base_TRIO_N2_TRI_UFM.XLSX
Tumak,N2TMC/BIV,Latn,TMCBIV,Base_TUMAK_N2_TMC_BIV.XLSX
Turkish,N2TRK/WTC,Latn,TRKWTC,Base_TURKISH_N2_TRK_WTC_FINAL.XLSX
Tuwuli,N2BOV/WBT,Latn,BOVWBT,Base_TUWULI_N2_BOV_WBT.XLSX
Tuyuca,N2TUE/WBT,Latn,TUEWBT,Base_TUYUCA_N2_TUE_WBT.XLSX
Tyap,N2KCG/WBT,Latn,KCGWBT,Base_TYAP_N2_KCG_WBT.XLSX
Ucayali-YurÃºa AshÃ©ninka,N2CPB/WBT,Latn,CPBWBT,Base_ASHENINKA_UCAYALI-YURUA_N2CPBWBT.XLSX
Uma,N2PPK/LAI,Latn,PPKLAI,Base_UMA_N2_PPK_LAI.XLSX
UrubÃº-Kaapor,N2URB/WBT,Latn,URBWBT,Base_KAAPOR_N2URBWBT.XLSX
Vengo,N2BAV/WBT,Latn,BAVWBT,Base_BABUNGO_VENGO_N2_BAV_WBT.XLSX
Vietnamese,N2VIE/LHG,Latn,VIELHG,Base_VIETNAMESE_N2VIELHG.XLSX
Vute,N2VUT/ABC,Latn,VUTABC,Base_VUTE_N2_VUT_ABC.XLSX
Waama,N2WWA/WYI,Latn,WWAWYI,Base_WAAMA_N2_WWA_WYI.XLSX
Wandala,N2MFI/WYI,Latn,MFIWYI,Base_MANDARA_N2_MFI_WYI.XLSX
Waorani,N2AUC/WBT,Latn,AUCWBT,Base_WAORANI_N2_AUC_WBT.XLSX
Waray (Philippines),N2WAR/SPV,Latn,WARSPV,Base_SAMARENO_N2_WAR_SPV.XLSX
Welsh,N2WLS/BCN,Latn,WLSBCN,Base_WELSH_DISPLAY.XLSX
