language,stocknumber,script,smstk,file_name
Magdalena PeÃ±asco Mixtec,N2XTM/TBL,Latn,XTMTBL,Base_MIXTEC_MAGDALENA_PENASCO_N2_XTM_TBL_.XLSX
Makasar,N2MAK/LAI,Latn,MAKLAI,Base_MAKASSAR_N2_MAK_LAI.XLSX
Makhuwa,N2VMW/BSM,Latn,VMWBSM,Base_MAKHUWA_N2_VMW_BSM.XLSX
Malawi Lomwe,N2LON/BSM,Latn,LONBSM,Base_POR_ELHOMWE_N2_LON_BSM.XLSX
Maranao,N2MRW/NVS,Latn,MRWNVS,Base_MARANAO_N2_MRW_NVS.XLSX
Marba,N2MPG/ABT,Latn,MPGABT,Base_Azumeina_N2_MPG_ABT.xlsx
Marshallese,N2MAH/WGM,Latn,MAHWGM,Base_MARSHALLESE_N2_MAH_WGM.XLSX
Matal,N2MFH/WYI,Latn,MFHWYI,Base_MATAL_N2_MFH_WYI.XLSX
Matigsalug Manobo,N2MBT/WBT,Latn,MBTWBT,Base_MATIGSALUG_N2_MBT_WBT.XLSX
Mayogo,N2MDM/WYI,Latn,MDMWYI,Base_MAYOGO_N2_MDM_WYI.XLSX
Mayoyao Ifugao,N2IFU/WPS,Latn,IFUWPS,Base_MAYOYAOIFUGAO_N2_IFU_WPS.XLSX
Mbay,N2MYB/ABT,Latn,MYBABT,Base_N2_MYB_ABT_.XLSX
Mbuko,N2MQB/WBT,Latn,MQBWBT,Base_MBUKO_N2_MQB_WBT.XLSX
Melpa,N2MED/PNG,Latn,MEDPNG,Base_MELPA_N2_MED_PNG.XLSX
Mentawai,N2MWV/LAI,Latn,MWVLAI,Base_MENTAWAI_N2_MWV_LAI.XLSX
Merey,N2MEQ/WBT,Latn,MEQWBT,Base_MEREY_N2_MEQ_WBT.XLSX
Meta',N2MGO/WYI,Latn,MGOWYI,Base_META_N2_MGO_WYI.XLSX
Meyah,N2MEJ/TBL,Latn,MEJTBL,Base_MEYAH_N2_MEJ_TBL.XLSX
Minangkabau,N2MIN/LAI,Latn,MINLAI,Base_MINANGKABAU_N2_MIN_LAI.XLSX
Miyobe,N2SOY/SIM,Latn,SOYSIM,Base_SOLA_N2_SOY_SIM.XLSX
Moba,N2MFQ/ABT,Latn,MFQABT,Base_MOBA_LOK_N2_MFQ_ABT.XLSX
Morisyen,N2MFE/BSM,Latn,MFEBSM,Base_MAURITIAN_KREOL_N2_MFE_BSM.XLSX
Moro,N2MOR/BSS,Latn,MORBSS,Base_NUBA_MORO_N2_MOR_BSS.XLSX
Moru,N2MGD/BSS,Latn,MGDBSS,Base_MORU_N2_MGD_BSS.XLSX
Moskona,N2MTJ/TBL,Latn,MTJTBL,Base_MOSKONA_N2_MTJ_TBL.XLSX
Muinane,N2BMR/WBT,Latn,BMRWBT,Base_MUINANE_N2BMRWBT.XLSX
Muna,N2MNB/TBL,Latn,MNBTBL,Base_MUNA_N2_MNB_TBL.XLSX
Mundani,N2MNF/CAB,Latn,MNFCAB,Base_MUNDANI__N2_MNF_CAB.XLSX
Murui Huitoto,N2HUU/TBL,Latn,HUUTBL,Base_HUITOTO_MURUI_N2_HUU_TBL.XLSX
Muyang,N2MUY/WBT,Latn,MUYWBT,Base_MUYANG__N2_MUY_WBT.XLSX
Mwan,N2MOA/WBT,Latn,MOAWBT,Base_MWAN_N2_MOA_WBT.XLSX
Mwani,N2WMW/WYI,Latn,WMWWYI,Base_MWANI_N2_WMW_WYI.XLSX
Naasioi,N2NAS/PNG,Latn,NASPNG,Base_NAASIOI_N2_NAS_PNG.XLSX
NadÃ«b,N2MBJ/WBT,Latn,MBJWBT,Base_NADEB_N2MBJWBT.XLSX
Nalca,N2NLC/LAI,Latn,NLCLAI,Base_NALCA_N2_NLC_LAI.XLSX
Nande,N2NNB/BSU,Latn,NNBBSU,Base_KINANDI_N2_NNB_BSU.XLSX
Napu,N2NPY/LAI,Latn,NPYLAI,Base_HUA_N2_NPY_LAI.XLSX
Ndo,N2KDP/BSU,Latn,KDPBSU,Base_KEBU_N2_KDP_BSU.XLSX
Ngaju,N2NIJ/LAI,Latn,NIJLAI,Base_NGAJU_N2_NIJ_LAI.XLSX
Ngangam,N2GNG/WYI,Latn,GNGWYI,Base_GANGAM_N2_GNG_WYI.XLSX
Nigerian Pidgin,N2PCM/TSC,Latn,PCMTSC,Base_NIGERIAN_PIDGIN_N2_PCM_TSC.XLSX
Ninzo,N2NIN/WYI,Latn,NINWYI,Base_NINZO_N2_NIN_WYI.XLSX
Nomaande,N2LEM/WBT,Latn,LEMWBT,Base_NOMAANDE_N2_LEM_WBT.XLSX
Nomatsiguenga,N2NOT/TBL,Latn,NOTTBL,Base_NOMATSIGUENGA_N2_NOT_TBL.XLSX
